split,short_side_640_px,long_side_640_px,area_640_px2,aspect_ratio
train,13.1058020478,13.2642487047,173.838617836,1.01208981002
train,10.3754266212,14.5906735751,151.384463032,1.40627215708
train,21.25,30,637.5,1.41176470588
train,22.5,30,675,1.33333333333
train,16.25,28.75,467.1875,1.76923076923
train,18.75,23.75,445.3125,1.26666666667
train,17.5,31.25,546.875,1.78571428571
train,20,35,700,1.75
train,22.5,30,675,1.33333333333
train,20,26.25,525,1.3125
train,23.75,41.25,979.6875,1.73684210526
train,25,40,1000,1.6
train,26.25,31.25,820.3125,1.19047619048
train,17.5,25,437.5,1.42857142857
train,9.82935153584,17.9067357513,176.011600559,1.82176165803
train,18.75,23.75,445.3125,1.26666666667
train,18.75,27.5,515.625,1.46666666667
train,21.25,27.5,584.375,1.29411764706
train,22.5,36.25,815.625,1.61111111111
train,28.75,43.75,1257.8125,1.52173913043
train,17.5,45,787.5,2.57142857143
train,21.25,26.25,557.8125,1.23529411765
train,22.5,25,562.5,1.11111111111
train,20,35,700,1.75
train,30,31.25,937.5,1.04166666667
train,22.5,45,1012.5,2
train,13.75,23.75,326.5625,1.72727272727
train,16.25,20,325,1.23076923077
train,7.9585492228,9.82935153584,78.2273780261,1.23506825939
train,9.28497409326,13.6518771331,126.757325505,1.47031935641
train,18.75,30,562.5,1.6
train,25,28.75,718.75,1.15
train,18.75,36.25,679.6875,1.93333333333
train,22.5,25,562.5,1.11111111111
train,17.5,25,437.5,1.42857142857
train,21.25,30,637.5,1.41176470588
train,25,53.75,1343.75,2.15
train,22.5,25,562.5,1.11111111111
train,18.75,26.25,492.1875,1.4
train,18.75,47.5,890.625,2.53333333333
train,22.5,35,787.5,1.55555555556
train,26.25,51.25,1345.3125,1.95238095238
train,25,52.5,1312.5,2.1
train,23.75,40,950,1.68421052632
train,20,21.25,425,1.0625
train,21.25,31.25,664.0625,1.47058823529
train,26.25,35,918.75,1.33333333333
train,20,21.25,425,1.0625
train,25,32.5,812.5,1.3
train,22.5,28.75,646.875,1.27777777778
train,23.75,28.75,682.8125,1.21052631579
train,22.5,23.75,534.375,1.05555555556
train,20,23.75,475,1.1875
train,23.75,30,712.5,1.26315789474
train,20,28.75,575,1.4375
train,21.25,28.75,610.9375,1.35294117647
train,25,27.5,687.5,1.1
train,21.25,21.25,451.5625,1
train,18.75,33.75,632.8125,1.8
train,23.75,25,593.75,1.05263157895
train,22.5,22.5,506.25,1
train,27.5,28.75,790.625,1.04545454545
train,25,27.5,687.5,1.1
train,15,31.25,468.75,2.08333333333
train,26.25,35,918.75,1.33333333333
train,28.75,32.5,934.375,1.13043478261
train,23.75,25,593.75,1.05263157895
train,28.75,33.75,970.3125,1.17391304348
train,21.25,28.75,610.9375,1.35294117647
train,21.25,30,637.5,1.41176470588
train,26.25,26.25,689.0625,1
train,12.5597269625,15.2538860104,191.584643407,1.21450777202
train,23.75,28.75,682.8125,1.21052631579
train,26.25,31.25,820.3125,1.19047619048
train,18.75,30,562.5,1.6
train,31.25,31.25,976.5625,1
train,25,27.5,687.5,1.1
train,23.75,33.75,801.5625,1.42105263158
train,23.75,27.5,653.125,1.15789473684
train,25,32.5,812.5,1.3
train,17.5,28.75,503.125,1.64285714286
train,23.75,30,712.5,1.26315789474
train,31.25,35,1093.75,1.12
train,31.25,42.5,1328.125,1.36
train,28.75,38.75,1114.0625,1.34782608696
train,18.75,23.75,445.3125,1.26666666667
train,22.5,41.25,928.125,1.83333333333
train,23.75,30,712.5,1.26315789474
train,32.5,41.25,1340.625,1.26923076923
train,26.25,38.75,1017.1875,1.47619047619
train,27.5,35,962.5,1.27272727273
train,23.75,30,712.5,1.26315789474
train,27.5,36.25,996.875,1.31818181818
train,20,45,900,2.25
train,28.75,37.5,1078.125,1.30434782609
train,20,21.25,425,1.0625
train,23.75,26.25,623.4375,1.10526315789
train,23.75,26.25,623.4375,1.10526315789
train,16.25,20,325,1.23076923077
train,17.5,26.25,459.375,1.5
train,20,30,600,1.5
train,20,31.25,625,1.5625
train,26.25,26.25,689.0625,1
train,25,27.5,687.5,1.1
train,22.5,30,675,1.33333333333
train,16.25,27.5,446.875,1.69230769231
train,17.5,18.75,328.125,1.07142857143
train,18.75,25,468.75,1.33333333333
train,26.25,35,918.75,1.33333333333
train,28.75,30,862.5,1.04347826087
train,26.25,33.75,885.9375,1.28571428571
train,21.25,28.75,610.9375,1.35294117647
train,30,35,1050,1.16666666667
train,26.25,31.25,820.3125,1.19047619048
train,17.5,23.75,415.625,1.35714285714
train,27.5,28.75,790.625,1.04545454545
train,16.25,17.5,284.375,1.07692307692
train,23.75,26.25,623.4375,1.10526315789
train,18.75,26.25,492.1875,1.4
train,23.75,32.5,771.875,1.36842105263
train,12.5597269625,12.6010362694,158.265574988,1.00328902906
train,8.73720136519,12.6010362694,110.097791296,1.44222797927
train,7.29533678756,7.64505119454,55.7732232223,1.04793670493
train,7.29533678756,7.64505119454,55.7732232223,1.04793670493
train,7.29533678756,8.73720136519,63.7408265398,1.1976419485
train,6.55290102389,11.274611399,73.8814125802,1.72055267703
train,5.46075085324,7.29533678756,39.8380165874,1.33595854922
train,7.64505119454,10.6113989637,81.1246883234,1.38800888231
train,21.25,33.75,717.1875,1.58823529412
train,27.1917098446,29.4880546075,801.830624768,1.08445017897
train,25,30,750,1.2
train,20,26.25,525,1.3125
train,20,23.75,475,1.1875
train,21.25,31.25,664.0625,1.47058823529
train,23.75,23.75,564.0625,1
train,25,31.25,781.25,1.25
train,27.5,31.25,859.375,1.13636363636
train,11.274611399,11.4675767918,129.292472015,1.01711503714
train,7.64505119454,11.274611399,86.1949813436,1.47475943745
train,26.25,30,787.5,1.14285714286
train,27.5,35,962.5,1.27272727273
train,15,20,300,1.33333333333
train,28.75,33.75,970.3125,1.17391304348
train,27.5,30,825,1.09090909091
train,13.75,27.5,378.125,2
train,25,27.5,687.5,1.1
train,9.82935153584,13.9274611399,136.897911546,1.41692573402
train,30,35,1050,1.16666666667
train,27.5,28.75,790.625,1.04545454545
train,25,25,625,1
train,27.5,30,825,1.09090909091
train,9.28327645051,12.6010362694,116.978903252,1.35739103932
train,25,30,750,1.2
train,17.5,30,525,1.71428571429
train,10.9215017065,12.6010362694,137.62223912,1.15378238342
train,17.5,21.25,371.875,1.21428571429
train,21.25,31.25,664.0625,1.47058823529
train,10.3754266212,11.9378238342,123.860015208,1.15058631034
train,32.5,35,1137.5,1.07692307692
train,45,51.25,2306.25,1.13888888889
train,25,35,875,1.4
train,17.5,28.75,503.125,1.64285714286
train,20,21.25,425,1.0625
train,26.25,35,918.75,1.33333333333
train,27.5,36.25,996.875,1.31818181818
train,23.75,36.25,860.9375,1.52631578947
train,21.25,25,531.25,1.17647058824
train,17.5,21.25,371.875,1.21428571429
train,36.25,40,1450,1.10344827586
train,21.25,23.75,504.6875,1.11764705882
train,20,23.75,475,1.1875
train,23.75,30,712.5,1.26315789474
train,22.5,23.75,534.375,1.05555555556
train,16.25,25,406.25,1.53846153846
train,17.5,22.5,393.75,1.28571428571
train,36.25,38.75,1404.6875,1.06896551724
train,31.25,36.25,1132.8125,1.16
train,26.25,30,787.5,1.14285714286
train,22.5,36.25,815.625,1.61111111111
train,32.5,33.75,1096.875,1.03846153846
train,33.75,46.25,1560.9375,1.37037037037
train,33.75,43.75,1476.5625,1.2962962963
train,38.75,46.25,1792.1875,1.1935483871
train,20,23.75,475,1.1875
train,23.75,27.5,653.125,1.15789473684
train,20,25,500,1.25
train,30,32.5,975,1.08333333333
train,26.25,27.5,721.875,1.04761904762
train,25,30,750,1.2
train,21.25,27.5,584.375,1.29411764706
train,27.5,28.75,790.625,1.04545454545
train,23.75,26.25,623.4375,1.10526315789
train,23.75,23.75,564.0625,1
train,23.75,25,593.75,1.05263157895
train,30,31.25,937.5,1.04166666667
train,35,36.25,1268.75,1.03571428571
train,26.25,46.25,1214.0625,1.7619047619
train,26.25,27.5,721.875,1.04761904762
train,28.75,32.5,934.375,1.13043478261
train,25,25,625,1
train,27.5,30,825,1.09090909091
train,21.25,27.5,584.375,1.29411764706
train,18.75,30,562.5,1.6
train,18.75,25,468.75,1.33333333333
train,17.5,30,525,1.71428571429
train,17.5,25,437.5,1.42857142857
train,17.5,28.75,503.125,1.64285714286
train,27.5,28.75,790.625,1.04545454545
train,18.75,25,468.75,1.33333333333
train,30,40,1200,1.33333333333
train,18.75,31.25,585.9375,1.66666666667
train,31.25,38.75,1210.9375,1.24
train,23.75,32.5,771.875,1.36842105263
train,23.75,30,712.5,1.26315789474
train,37.5,43.75,1640.625,1.16666666667
train,31.25,38.75,1210.9375,1.24
train,36.25,36.25,1314.0625,1
train,28.75,35,1006.25,1.21739130435
train,12.0136518771,13.2642487047,159.35206635,1.10409797456
train,30,40,1200,1.33333333333
train,33.75,36.25,1223.4375,1.07407407407
train,23.75,30,712.5,1.26315789474
train,26.25,41.25,1082.8125,1.57142857143
train,32.5,48.75,1584.375,1.5
train,32.5,45,1462.5,1.38461538462
train,22.5,36.25,815.625,1.61111111111
train,23.75,28.75,682.8125,1.21052631579
train,21.25,37.5,796.875,1.76470588235
train,32.5,52.5,1706.25,1.61538461538
train,32.5,41.25,1340.625,1.26923076923
train,33.75,40,1350,1.18518518519
train,23.75,26.25,623.4375,1.10526315789
train,27.5,40,1100,1.45454545455
train,26.25,35,918.75,1.33333333333
train,26.25,35,918.75,1.33333333333
train,30,33.75,1012.5,1.125
train,33.75,37.5,1265.625,1.11111111111
train,26.25,32.5,853.125,1.2380952381
train,13.75,25,343.75,1.81818181818
train,21.25,23.75,504.6875,1.11764705882
train,28.75,37.5,1078.125,1.30434782609
train,17.5,26.25,459.375,1.5
train,22.5,25,562.5,1.11111111111
train,23.75,31.25,742.1875,1.31578947368
train,12.5,13.75,171.875,1.1
train,13.75,15,206.25,1.09090909091
train,28.75,31.25,898.4375,1.08695652174
train,13.75,17.5,240.625,1.27272727273
train,30,33.75,1012.5,1.125
train,26.25,28.75,754.6875,1.09523809524
train,31.25,43.75,1367.1875,1.4
train,26.25,28.75,754.6875,1.09523809524
train,22.5,26.25,590.625,1.16666666667
train,17.5,25,437.5,1.42857142857
train,16.25,30,487.5,1.84615384615
train,23.75,31.25,742.1875,1.31578947368
train,22.5,32.5,731.25,1.44444444444
train,25,28.75,718.75,1.15
train,30,31.25,937.5,1.04166666667
train,17.5,28.75,503.125,1.64285714286
train,21.25,28.75,610.9375,1.35294117647
train,27.5,35,962.5,1.27272727273
train,26.25,31.25,820.3125,1.19047619048
train,25,28.75,718.75,1.15
train,26.25,38.75,1017.1875,1.47619047619
train,36.25,38.75,1404.6875,1.06896551724
train,38.75,40,1550,1.03225806452
train,31.25,32.5,1015.625,1.04
train,30,42.5,1275,1.41666666667
train,35,36.25,1268.75,1.03571428571
train,36.25,42.5,1540.625,1.1724137931
train,28.75,40,1150,1.39130434783
train,25,28.75,718.75,1.15
train,30,38.75,1162.5,1.29166666667
train,28.75,37.5,1078.125,1.30434782609
train,25,27.5,687.5,1.1
train,28.75,35,1006.25,1.21739130435
train,23.75,32.5,771.875,1.36842105263
train,12.5,37.5,468.75,3
train,15,22.5,337.5,1.5
train,25,33.75,843.75,1.35
train,25,27.5,687.5,1.1
train,28.75,31.25,898.4375,1.08695652174
train,26.25,33.75,885.9375,1.28571428571
train,23.75,25,593.75,1.05263157895
train,26.25,30,787.5,1.14285714286
train,13.6518771331,17.2435233161,235.406461653,1.2630880829
train,25,36.25,906.25,1.45
train,22.5,31.25,703.125,1.38888888889
train,23.75,27.5,653.125,1.15789473684
train,18.75,31.25,585.9375,1.66666666667
train,30,33.75,1012.5,1.125
train,31.25,33.75,1054.6875,1.08
train,26.25,35,918.75,1.33333333333
train,40,50,2000,1.25
train,27.5,30,825,1.09090909091
train,16.25,21.25,345.3125,1.30769230769
train,22.5,28.75,646.875,1.27777777778
train,43.75,46.25,2023.4375,1.05714285714
train,16.25,30,487.5,1.84615384615
train,16.25,22.5,365.625,1.38461538462
train,16.25,30,487.5,1.84615384615
train,21.25,27.5,584.375,1.29411764706
train,17.5,25,437.5,1.42857142857
train,25,26.25,656.25,1.05
train,13.9274611399,14.1979522184,197.741427788,1.01942142045
train,20,35,700,1.75
train,22.5,42.5,956.25,1.88888888889
train,11.9378238342,14.7440273038,176.011600559,1.23506825939
train,20,28.75,575,1.4375
train,21.25,26.25,557.8125,1.23529411765
train,23.75,26.25,623.4375,1.10526315789
train,27.5,27.5,756.25,1
train,12.5,21.25,265.625,1.7
train,28.75,33.75,970.3125,1.17391304348
train,36.25,40,1450,1.10344827586
train,30,31.25,937.5,1.04166666667
train,25,42.5,1062.5,1.7
train,27.5,33.75,928.125,1.22727272727
train,26.25,28.75,754.6875,1.09523809524
train,20,22.5,450,1.125
train,28.75,32.5,934.375,1.13043478261
train,30,35,1050,1.16666666667
train,25,28.75,718.75,1.15
train,15,20,300,1.33333333333
train,16.25,42.5,690.625,2.61538461538
train,20,33.75,675,1.6875
train,35,37.5,1312.5,1.07142857143
train,13.9274611399,18.0204778157,250.979504501,1.29388103364
train,26.25,43.75,1148.4375,1.66666666667
train,21.25,27.5,584.375,1.29411764706
train,27.5,37.5,1031.25,1.36363636364
train,30,38.75,1162.5,1.29166666667
train,26.25,27.5,721.875,1.04761904762
train,26.25,36.25,951.5625,1.38095238095
train,16.25,26.25,426.5625,1.61538461538
train,27.5,32.5,893.75,1.18181818182
train,41.25,56.25,2320.3125,1.36363636364
train,36.25,36.25,1314.0625,1
train,12.5,17.5,218.75,1.4
train,18.75,25,468.75,1.33333333333
train,25,35,875,1.4
train,27.5,40,1100,1.45454545455
train,21.25,36.25,770.3125,1.70588235294
train,30,38.75,1162.5,1.29166666667
train,27.5,28.75,790.625,1.04545454545
train,15,23.75,356.25,1.58333333333
train,30,33.75,1012.5,1.125
train,23.75,35,831.25,1.47368421053
train,22.5,26.25,590.625,1.16666666667
train,28.75,51.25,1473.4375,1.78260869565
train,23.75,26.25,623.4375,1.10526315789
train,28.75,28.75,826.5625,1
train,18.75,27.5,515.625,1.46666666667
train,23.75,27.5,653.125,1.15789473684
train,25,32.5,812.5,1.3
train,28.75,35,1006.25,1.21739130435
train,26.25,33.75,885.9375,1.28571428571
train,25,37.5,937.5,1.5
train,25,30,750,1.2
train,30,40,1200,1.33333333333
train,33.75,58.75,1982.8125,1.74074074074
train,35,35,1225,1
train,27.5,40,1100,1.45454545455
train,12.5,17.5,218.75,1.4
train,11.25,27.5,309.375,2.44444444444
train,16.25,30,487.5,1.84615384615
train,12.5,30,375,2.4
train,11.25,17.5,196.875,1.55555555556
train,17.5,20,350,1.14285714286
train,11.25,26.25,295.3125,2.33333333333
train,13.75,26.25,360.9375,1.90909090909
train,16.25,27.5,446.875,1.69230769231
train,11.25,20,225,1.77777777778
train,10,21.25,212.5,2.125
train,18.75,30,562.5,1.6
train,31.25,33.75,1054.6875,1.08
train,25,33.75,843.75,1.35
train,30,31.25,937.5,1.04166666667
train,18.75,30,562.5,1.6
train,30,32.5,975,1.08333333333
train,27.5,37.5,1031.25,1.36363636364
train,26.25,37.5,984.375,1.42857142857
train,28.75,38.75,1114.0625,1.34782608696
train,28.75,38.75,1114.0625,1.34782608696
train,35,37.5,1312.5,1.07142857143
train,22.5,28.75,646.875,1.27777777778
train,22.5,36.25,815.625,1.61111111111
train,14.5906735751,16.9283276451,246.995702842,1.1602156376
train,27.5,30,825,1.09090909091
train,13.75,27.5,378.125,2
train,12.5,25,312.5,2
train,17.5,23.75,415.625,1.35714285714
train,15,25,375,1.66666666667
train,12.5,25,312.5,2
train,17.5,26.25,459.375,1.5
train,27.5,28.75,790.625,1.04545454545
train,16.25,27.5,446.875,1.69230769231
train,25,27.5,687.5,1.1
train,16.25,27.5,446.875,1.69230769231
train,25,30,750,1.2
train,15.9170984456,17.4744027304,278.141788537,1.09783845279
train,26.25,30,787.5,1.14285714286
train,31.25,41.25,1289.0625,1.32
train,27.5,28.75,790.625,1.04545454545
train,28.75,36.25,1042.1875,1.26086956522
train,16.25,38.75,629.6875,2.38461538462
train,25,32.5,812.5,1.3
train,16.25,17.5,284.375,1.07692307692
train,17.5,31.25,546.875,1.78571428571
train,18.75,25,468.75,1.33333333333
train,15,21.25,318.75,1.41666666667
train,23.75,33.75,801.5625,1.42105263158
train,26.25,33.75,885.9375,1.28571428571
train,33.75,41.25,1392.1875,1.22222222222
train,28.75,33.75,970.3125,1.17391304348
train,22.5,26.25,590.625,1.16666666667
train,30,31.25,937.5,1.04166666667
train,28.75,40,1150,1.39130434783
train,31.25,33.75,1054.6875,1.08
train,22.5,31.25,703.125,1.38888888889
train,17.5,23.75,415.625,1.35714285714
train,26.25,33.75,885.9375,1.28571428571
train,11.25,20,225,1.77777777778
train,20,25,500,1.25
train,15.2538860104,19.1126279863,291.541848662,1.25296779938
train,9.28327645051,17.2435233161,160.076393924,1.85748247486
train,20,21.25,425,1.0625
train,23.75,26.25,623.4375,1.10526315789
train,21.25,27.5,584.375,1.29411764706
train,21.25,30,637.5,1.41176470588
train,27.5,30,825,1.09090909091
train,26.25,32.5,853.125,1.2380952381
train,22.5,32.5,731.25,1.44444444444
train,26.25,28.75,754.6875,1.09523809524
train,21.25,38.75,823.4375,1.82352941176
