short_side_640_px,long_side_640_px
23.75,31.25
20,25
13.1058020478,13.2642487047
10.3754266212,14.5906735751
27.5,37.5
31.25,37.5
20,25
17.5,20
15,20
21.25,25
20,21.25
33.75,33.75
17.5,27.5
27.5,33.75
15.2901023891,21.8860103627
21.25,25
26.25,28.75
26.25,31.25
26.25,30
32.5,38.75
25,27.5
32.5,33.75
26.25,27.5
18.75,26.25
18.75,25
15,17.5
12.5,17.5
20.5595854922,21.843003413
25,33.75
28.75,30
23.75,23.75
21.25,23.75
23.75,26.25
25,28.75
18.75,36.25
25,41.25
23.75,31.25
31.25,46.25
18.75,35
25,27.5
22.5,26.25
7.00729927007,14.08
7.00729927007,10.88
30,42.5
16.25,21.25
23.75,30
16.25,23.75
16.25,17.5
15,17.5
16.25,21.25
13.75,15
16.25,21.25
10.3754266212,11.9378238342
9.9481865285,10.9215017065
15,17.5
27.5,31.25
18.75,32.5
15,16.25
15,25
18.75,26.25
27.5,31.25
20,27.5
12.5,17.5
11.25,15
10,17.5
18.75,23.75
16.25,26.25
18.75,35
21.25,38.75
16.25,26.25
25,35
31.25,35
20,23.75
22.5,23.75
25,25
11.4675767918,12.6010362694
20,20
20,20
17.5,22.5
20,22.5
21.25,32.5
18.75,22.5
21.25,23.75
18.75,20
22.5,25
20,21.25
18.75,31.25
16.25,20
18.75,18.75
21.25,26.25
11.9378238342,13.1058020478
11.4675767918,12.6010362694
12.0136518771,12.6010362694
21.25,27.5
21.25,27.5
22.5,28.75
18.75,22.5
17.5,20
15,17.5
17.5,25
31.25,33.75
18.75,22.5
17.5,25
17.5,22.5
20,22.5
20,23.75
16.25,23.75
18.75,22.5
20,21.25
12.5,22.5
16.25,26.25
11.25,25
16.25,25
20,22.5
16.25,25
22.5,33.75
22.5,23.75
22.5,40
21.25,40
16.25,22.5
25,53.75
27.5,33.75
18.75,25
17.5,21.25
17.5,21.25
20,25
17.5,22.5
17.5,25
21.25,21.25
17.5,23.75
25,35
25,35
26.25,45
26.25,43.75
15,20
18.75,18.75
20,25
13.1058020478,13.2642487047
10.3754266212,14.5906735751
21.25,30
22.5,30
16.25,28.75
18.75,23.75
17.5,31.25
20,35
22.5,30
20,26.25
23.75,41.25
25,40
26.25,31.25
17.5,25
9.82935153584,17.9067357513
18.75,23.75
18.75,27.5
21.25,27.5
22.5,36.25
28.75,43.75
17.5,45
21.25,26.25
22.5,25
20,35
30,31.25
22.5,45
13.75,23.75
16.25,20
7.9585492228,9.82935153584
9.28497409326,13.6518771331
18.75,30
25,28.75
18.75,36.25
22.5,25
17.5,25
21.25,30
25,53.75
22.5,25
18.75,26.25
18.75,47.5
22.5,35
26.25,51.25
25,52.5
23.75,40
20,21.25
21.25,31.25
26.25,35
20,21.25
25,32.5
22.5,28.75
23.75,28.75
22.5,23.75
20,23.75
23.75,30
20,28.75
21.25,28.75
25,27.5
21.25,21.25
18.75,33.75
23.75,25
22.5,22.5
27.5,28.75
25,27.5
15,31.25
26.25,35
28.75,32.5
23.75,25
28.75,33.75
21.25,28.75
21.25,30
26.25,26.25
12.5597269625,15.2538860104
23.75,28.75
26.25,31.25
18.75,30
31.25,31.25
25,27.5
23.75,33.75
23.75,27.5
25,32.5
17.5,28.75
23.75,30
31.25,35
31.25,42.5
28.75,38.75
18.75,23.75
22.5,41.25
23.75,30
32.5,41.25
26.25,38.75
27.5,35
23.75,30
27.5,36.25
20,45
28.75,37.5
20,21.25
23.75,26.25
23.75,26.25
16.25,20
17.5,26.25
20,30
20,31.25
26.25,26.25
25,27.5
22.5,30
16.25,27.5
17.5,18.75
18.75,25
26.25,35
28.75,30
26.25,33.75
21.25,28.75
30,35
26.25,31.25
17.5,23.75
27.5,28.75
16.25,17.5
23.75,26.25
18.75,26.25
23.75,32.5
12.5597269625,12.6010362694
8.73720136519,12.6010362694
7.29533678756,7.64505119454
7.29533678756,7.64505119454
7.29533678756,8.73720136519
6.55290102389,11.274611399
5.46075085324,7.29533678756
7.64505119454,10.6113989637
21.25,33.75
27.1917098446,29.4880546075
25,30
20,26.25
20,23.75
21.25,31.25
23.75,23.75
25,31.25
27.5,31.25
11.274611399,11.4675767918
7.64505119454,11.274611399
26.25,30
27.5,35
15,20
28.75,33.75
27.5,30
13.75,27.5
25,27.5
9.82935153584,13.9274611399
30,35
27.5,28.75
25,25
27.5,30
9.28327645051,12.6010362694
25,30
17.5,30
10.9215017065,12.6010362694
17.5,21.25
21.25,31.25
10.3754266212,11.9378238342
32.5,35
45,51.25
25,35
17.5,28.75
20,21.25
26.25,35
27.5,36.25
23.75,36.25
21.25,25
17.5,21.25
36.25,40
21.25,23.75
20,23.75
23.75,30
22.5,23.75
16.25,25
17.5,22.5
36.25,38.75
31.25,36.25
26.25,30
22.5,36.25
32.5,33.75
33.75,46.25
33.75,43.75
38.75,46.25
20,23.75
23.75,27.5
20,25
30,32.5
26.25,27.5
25,30
21.25,27.5
27.5,28.75
23.75,26.25
23.75,23.75
23.75,25
30,31.25
35,36.25
26.25,46.25
26.25,27.5
28.75,32.5
25,25
27.5,30
21.25,27.5
18.75,30
18.75,25
17.5,30
17.5,25
17.5,28.75
27.5,28.75
18.75,25
30,40
18.75,31.25
31.25,38.75
23.75,32.5
23.75,30
37.5,43.75
31.25,38.75
36.25,36.25
28.75,35
12.0136518771,13.2642487047
30,40
33.75,36.25
23.75,30
26.25,41.25
32.5,48.75
32.5,45
22.5,36.25
23.75,28.75
21.25,37.5
32.5,52.5
32.5,41.25
33.75,40
23.75,26.25
27.5,40
26.25,35
26.25,35
30,33.75
33.75,37.5
26.25,32.5
13.75,25
21.25,23.75
28.75,37.5
17.5,26.25
22.5,25
23.75,31.25
12.5,13.75
13.75,15
28.75,31.25
13.75,17.5
30,33.75
26.25,28.75
31.25,43.75
26.25,28.75
22.5,26.25
17.5,25
16.25,30
23.75,31.25
22.5,32.5
25,28.75
30,31.25
17.5,28.75
21.25,28.75
27.5,35
26.25,31.25
25,28.75
26.25,38.75
36.25,38.75
38.75,40
31.25,32.5
30,42.5
35,36.25
36.25,42.5
28.75,40
25,28.75
30,38.75
28.75,37.5
25,27.5
28.75,35
23.75,32.5
12.5,37.5
15,22.5
25,33.75
25,27.5
28.75,31.25
26.25,33.75
23.75,25
26.25,30
13.6518771331,17.2435233161
25,36.25
22.5,31.25
23.75,27.5
18.75,31.25
30,33.75
31.25,33.75
26.25,35
40,50
27.5,30
16.25,21.25
22.5,28.75
43.75,46.25
16.25,30
16.25,22.5
16.25,30
21.25,27.5
17.5,25
25,26.25
13.9274611399,14.1979522184
20,35
22.5,42.5
11.9378238342,14.7440273038
20,28.75
21.25,26.25
23.75,26.25
27.5,27.5
12.5,21.25
28.75,33.75
36.25,40
30,31.25
25,42.5
27.5,33.75
26.25,28.75
20,22.5
28.75,32.5
30,35
25,28.75
15,20
16.25,42.5
20,33.75
35,37.5
13.9274611399,18.0204778157
26.25,43.75
21.25,27.5
27.5,37.5
30,38.75
26.25,27.5
26.25,36.25
16.25,26.25
27.5,32.5
41.25,56.25
36.25,36.25
12.5,17.5
18.75,25
25,35
27.5,40
21.25,36.25
30,38.75
27.5,28.75
15,23.75
30,33.75
23.75,35
22.5,26.25
28.75,51.25
23.75,26.25
28.75,28.75
18.75,27.5
23.75,27.5
25,32.5
28.75,35
26.25,33.75
25,37.5
25,30
30,40
33.75,58.75
35,35
27.5,40
12.5,17.5
11.25,27.5
16.25,30
12.5,30
11.25,17.5
17.5,20
11.25,26.25
13.75,26.25
16.25,27.5
11.25,20
10,21.25
18.75,30
31.25,33.75
25,33.75
30,31.25
18.75,30
30,32.5
27.5,37.5
26.25,37.5
28.75,38.75
28.75,38.75
35,37.5
22.5,28.75
22.5,36.25
14.5906735751,16.9283276451
27.5,30
13.75,27.5
12.5,25
17.5,23.75
15,25
12.5,25
17.5,26.25
27.5,28.75
16.25,27.5
25,27.5
16.25,27.5
25,30
15.9170984456,17.4744027304
26.25,30
31.25,41.25
27.5,28.75
28.75,36.25
16.25,38.75
25,32.5
16.25,17.5
17.5,31.25
18.75,25
15,21.25
23.75,33.75
26.25,33.75
33.75,41.25
28.75,33.75
22.5,26.25
30,31.25
28.75,40
31.25,33.75
22.5,31.25
17.5,23.75
26.25,33.75
11.25,20
20,25
15.2538860104,19.1126279863
9.28327645051,17.2435233161
20,21.25
23.75,26.25
21.25,27.5
21.25,30
27.5,30
26.25,32.5
22.5,32.5
26.25,28.75
21.25,38.75
21.25,31.25
21.25,23.75
18.75,25
17.5,32.5
18.75,36.25
25,30
22.5,26.25
21.25,32.5
18.5699481865,19.1126279863
18.75,22.5
22.5,28.75
23.75,31.25
19.6587030717,34.4870466321
15,17.5
21.25,28.75
22.5,23.75
17.5,28.75
28.75,35
18.75,26.25
21.25,32.5
22.5,31.25
27.5,32.5
18.75,28.75
28.75,33.75
22.5,36.25
22.5,36.25
17.5,27.5
22.5,30
21.25,22.5
20,31.25
15,27.5
21.25,30
28.75,28.75
32.7645051195,33.1606217617
33.3105802048,42.4455958549
33.75,35
23.75,31.25
27.5,33.75
19.6587030717,23.8756476684
20.204778157,27.1917098446
25,30
20.5595854922,21.843003413
30,31.25
22.5,32.5
23.75,31.25
14.1979522184,14.5906735751
23.75,31.25
28.75,36.25
26.25,40
22.5,38.75
30,40
22.5,30
30,36.25
23.2124352332,31.6723549488
35,45
26.25,27.5
28.75,37.5
25,25
26.25,33.75
28.75,42.5
31.25,43.75
25,28.75
31.25,43.75
32.5,38.75
23.75,25
33.75,55
23.75,31.25
26.25,27.5
25,33.75
32.5,32.5
13.75,21.25
25,25
13.75,18.75
20,33.75
20,26.25
27.5,37.5
27.5,47.5
26.25,41.25
23.75,35
28.75,38.75
36.25,52.5
40,63.75
30,52.5
26.25,43.75
22.5,27.5
22.5,31.25
41.25,58.75
45,62.5
27.5,28.75
38.75,47.5
30,38.75
36.25,43.75
28.75,32.5
35,43.75
36.25,47.5
26.25,35
28.75,31.25
38.75,42.5
30,48.75
25,32.5
31.25,36.25
40,45
25,33.75
20,28.75
17.5,33.75
22.5,31.25
43.75,45
33.75,33.75
31.25,37.5
17.5,26.25
21.25,30
21.25,22.5
36.25,47.5
22.5,35
22.5,30
17.5,25
15,21.25
21.25,27.5
30,38.75
18.75,21.25
16.25,37.5
20,31.25
13.2642487047,20.204778157
25,36.25
26.25,27.5
32.5,38.75
37.5,45
31.25,35
26.25,38.75
37.5,50
33.75,37.5
32.5,38.75
31.25,37.5
28.75,38.75
28.75,38.75
13.9274611399,15.8361774744
28.75,40
27.5,35
23.75,26.25
21.25,23.75
25,30
16.25,25
21.25,30
28.75,31.25
20,27.5
25,32.5
33.75,36.25
27.5,28.75
20,35
23.75,23.75
23.75,35
25,32.5
17.5,20
20,35
22.5,25
20,22.5
30,32.5
21.25,27.5
22.5,25
17.5,33.75
20,26.25
21.25,25
25,27.5
18.75,26.25
23.75,28.75
23.75,23.75
20,26.25
28.75,31.25
12.5,20
25,31.25
13.9274611399,15.2901023891
14.1979522184,15.2538860104
28.75,30
26.25,35
18.75,27.5
18.75,20
18.75,25
18.75,27.5
22.5,23.75
16.25,21.25
20.204778157,20.5595854922
14.1979522184,14.5906735751
13.1058020478,13.2642487047
14.5906735751,20.204778157
12.0136518771,13.2642487047
10.9215017065,17.2435233161
31.25,35
33.75,38.75
20,35
30.5802047782,32.4974093264
13.6518771331,19.896373057
15,21.25
17.5,20
26.25,27.5
12.6010362694,14.1979522184
17.5,25
13.75,23.75
16.3822525597,17.9067357513
31.25,32.5
15,21.25
16.25,25
22.5,42.5
18.75,28.75
28.75,40
31.25,36.25
33.75,35
30,30
25,28.75
25,28.75
32.5,35
28.75,41.25
25,28.75
22.5,32.5
22.5,30
10.3754266212,13.2642487047
13.6518771331,17.9067357513
18.566552901,22.5492227979
23.75,31.25
30,38.75
23.75,36.25
23.75,27.5
25,38.75
27.5,32.5
22.5,37.5
22.5,25
20,30
28.75,35
25,28.75
30,40
31.25,41.25
32.5,45
33.75,43.75
27.5,30
27.5,35
30,37.5
23.75,46.25
26.25,40
23.75,33.75
32.5,42.5
25,33.75
35,42.5
28.75,32.5
28.75,33.75
28.75,38.75
28.75,38.75
26.25,47.5
32.5,50
29.1813471503,35.4948805461
30,41.25
22.5,23.75
25,26.25
20,41.25
26.25,30
27.5,33.75
21.25,30
20,22.5
12.5,16.25
22.5,38.75
26.25,27.5
30,36.25
21.2227979275,21.843003413
27.5,33.75
27.5,35
30,31.25
26.25,33.75
28.75,48.75
30,46.25
21.25,28.75
25,33.75
21.25,32.5
31.25,40
30,47.5
21.25,33.75
27.5,31.25
16.9283276451,25.8652849741
19.2331606218,31.1262798635
33.1606217617,42.5938566553
25,36.25
17.4744027304,21.2227979275
28.75,31.25
28.75,35
34.4027303754,41.1191709845
26.25,32.5
17.5,23.75
13.6518771331,18.5699481865
13.75,15
30,31.25
17.5,26.25
30.0341296928,31.170984456
22.5,27.5
22.3890784983,23.8756476684
25,28.75
37.5,46.25
20,31.25
25,30
20,41.25
18.566552901,32.4974093264
13.75,21.25
23.75,27.5
30,38.75
25,38.75
33.75,40
27.5,33.75
25,31.25
18.75,36.25
16.25,28.75
21.25,28.75
20,23.75
13.75,15
15,16.25
20.7508532423,38.4663212435
23.75,33.75
21.25,31.25
16.25,21.25
20,35
27.5,40
31.25,42.5
20,30
12.5,15
18.75,26.25
11.25,13.75
20,22.5
16.25,40
18.75,18.75
17.5,30
17.9067357513,22.3890784983
16.25,17.5
19.6587030717,22.5492227979
18.75,21.25
36.25,53.75
32.5,43.75
18.75,35
24.5388601036,38.771331058
16.5803108808,26.7576791809
18.75,23.75
21.25,32.5
18.75,20
17.9067357513,19.6587030717
31.25,33.75
35,48.75
21.25,25
25,25
32.5,40
35,41.25
27.5,32.5
22.5,30
22.5,33.75
25,30
26.25,32.5
20,25
28.75,33.75
22.5,28.75
27.5,33.75
21.2227979275,27.8498293515
12.6010362694,23.4812286689
9.9481865285,22.9351535836
23.75,33.75
23.8756476684,29.4880546075
18.75,25
27.5,45
31.25,36.25
16.5803108808,17.4744027304
11.274611399,19.1126279863
25,32.5
25,32.5
15,22.5
25,36.25
12.5,15
17.5,25
16.25,18.75
20,21.25
20,26.25
21.25,35
21.25,37.5
20,27.5
17.5,30
23.75,30
31.25,35
31.25,35
22.5,22.5
17.5,43.75
17.5,28.75
23.75,33.75
20,32.5
25,32.5
12.5597269625,27.1917098446
19.6587030717,20.5595854922
27.5,47.5
36.25,37.5
22.5,28.75
23.75,26.25
25,28.75
27.5,28.75
18.75,22.5
37.5,37.5
38.75,41.25
26.25,31.25
32.5,40
30,32.5
28.75,52.5
17.5,27.5
18.75,23.75
22.5,25
23.75,25
12.5,22.5
20,32.5
43.75,46.25
16.25,27.5
28.75,41.25
30,32.5
27.5,50
30,36.25
20,25
20,23.75
20,28.75
27.5,28.75
25,26.25
36.25,40
15,31.25
46.25,47.5
32.5,41.25
31.25,45
20.204778157,20.5595854922
21.2969283276,35.1502590674
18.75,22.5
18.75,22.5
26.25,30
18.75,21.25
15,26.25
18.75,23.75
27.5,35
26.25,28.75
10.3754266212,14.5906735751
11.274611399,20.204778157
33.75,43.75
27.5,30
30,32.5
35,35
26.25,35
31.25,36.25
20,42.5
11.25,23.75
15.8361774744,30.5077720207
20.7508532423,21.8860103627
21.25,30
25,45
20,40
19.896373057,20.7508532423
27.5,31.25
23.75,32.5
18.75,33.75
19.6587030717,35.1502590674
21.25,30
26.25,32.5
18.75,30
15.2538860104,27.3037542662
25,40
26.25,28.75
26.25,31.25
33.75,37.5
33.8566552901,43.7720207254
18.75,21.25
13.6518771331,29.1813471503
26.2116040956,38.4663212435
21.2227979275,25.6655290102
22.5,23.75
26.25,27.5
23.75,31.25
35,43.75
23.75,26.25
15,17.5
22.5,23.75
21.2969283276,23.2124352332
35,41.25
32.5,42.5
28.75,28.75
14.7440273038,25.2020725389
17.2435233161,18.0204778157
15.9170984456,18.566552901
27.5,32.5
14.1979522184,16.5803108808
23.2124352332,32.7645051195
18.0204778157,25.2020725389
13.1058020478,19.896373057
19.2331606218,20.204778157
12.5597269625,23.2124352332
23.4812286689,28.518134715
13.1058020478,22.5492227979
10.3754266212,24.5388601036
13.6518771331,18.5699481865
16.3822525597,20.5595854922
13.6518771331,18.5699481865
12.5597269625,17.2435233161
12.5597269625,15.2538860104
14.7440273038,19.896373057
16.9283276451,21.2227979275
14.1979522184,21.2227979275
18.566552901,27.8549222798
14.1979522184,20.5595854922
16.3822525597,19.896373057
18.0204778157,23.2124352332
17.4744027304,21.2227979275
20.204778157,41.1191709845
19.2331606218,31.6723549488
30,35
15.8361774744,17.9067357513
27.5,58.75
32.5,35
14.1979522184,17.2435233161
12.0136518771,17.2435233161
33.75,50
35,42.5
16.3822525597,16.5803108808
23.75,36.25
33.75,37.5
18.0204778157,36.4766839378
22.5,26.25
30,30
35,42.5
30,31.25
25,26.25
30,32.5
22.5,23.75
21.25,28.75
35,37.5
14.1979522184,21.8860103627
32.2184300341,45.0984455959
23.75,32.5
32.5,38.75
31.25,38.75
28.75,46.25
31.25,35
18.75,38.75
41.25,43.75
23.75,32.5
27.5,32.5
31.25,38.75
35,40
28.75,32.5
35,45
36.25,41.25
22.5,28.75
20,48.75
10.9215017065,14.5906735751
12.5597269625,17.9067357513
35,53.75
26.25,37.5
31.25,32.5
32.5,38.75
18.75,26.25
21.25,30
40,42.5
21.25,26.25
20,26.25
37.5,38.75
36.25,40
10.9215017065,16.5803108808
12.0136518771,18.5699481865
20.204778157,29.8445595855
19.1126279863,27.1917098446
18.75,23.75
23.75,38.75
26.25,43.75
20.7508532423,28.518134715
18.566552901,32.4974093264
22.9351535836,33.1606217617
41.25,41.25
26.25,28.75
22.5,31.25
21.25,52.5
38.75,42.5
21.25,47.5
19.2331606218,26.7576791809
35,37.5
30,32.5
31.25,31.25
31.25,37.5
22.5,37.5
56.25,57.5
38.75,50
23.75,30
41.25,45
37.5,38.75
27.5,30
28.75,37.5
33.75,41.25
22.5,40
25,37.5
33.75,42.5
16.25,41.25
26.25,30
27.5,35
27.5,37.5
28.75,32.5
35,42.5
32.5,35
27.5,32.5
15,32.5
20.5595854922,24.0273037543
31.25,35
27.5,56.25
36.25,43.75
27.5,31.25
27.5,31.25
23.75,32.5
20,28.75
31.25,40
27.5,30
32.5,33.75
31.25,32.5
35,38.75
12.5597269625,23.8756476684
17.4744027304,27.1917098446
14.1979522184,17.2435233161
12.5597269625,15.2538860104
35,37.5
37.5,43.75
23.75,33.75
32.5,36.25
33.75,41.25
28.75,57.5
19.1126279863,31.8341968912
20.5595854922,28.3959044369
22.5492227979,26.7576791809
16.5803108808,16.9283276451
22.5,48.75
25,50
21.25,40
18.75,43.75
19.6587030717,19.896373057
26.25,50
21.25,37.5
15.2901023891,23.2124352332
18.5699481865,22.3890784983
21.2227979275,29.4880546075
36.25,42.5
33.75,40
20,23.75
14.1979522184,20.5595854922
12.5597269625,19.2331606218
27.5,28.75
22.5,40
17.9067357513,21.2969283276
18.0204778157,22.5492227979
30,35
28.75,30
18.0204778157,31.8341968912
17.4744027304,26.5284974093
35,36.25
16.9283276451,25.2020725389
21.25,27.5
27.5,52.5
22.5,25
17.5,43.75
8.75,31.25
30,36.25
31.25,32.5
17.4744027304,29.8445595855
21.25,30
23.75,26.25
19.896373057,24.5733788396
21.25,28.75
15.2901023891,17.9067357513
14.1979522184,15.9170984456
30,36.25
28.75,40
37.5,37.5
18.75,25
15.2901023891,17.2435233161
26.25,32.5
26.25,37.5
19.6587030717,19.896373057
16.3822525597,23.2124352332
27.8549222798,30.0341296928
32.2184300341,45.7616580311
28.9419795222,30.5077720207
20.204778157,30.5077720207
13.1058020478,21.8860103627
17.4744027304,20.5595854922
18.0204778157,22.5492227979
18.0204778157,26.5284974093
18.566552901,18.5699481865
14.7440273038,21.8860103627
14.1979522184,21.2227979275
15.8361774744,23.8756476684
15.8361774744,18.5699481865
30,35
18.0204778157,20.5595854922
33.75,50
21.2969283276,29.8445595855
41.25,43.75
20.204778157,24.5388601036
33.75,33.75
33.75,40
28.75,45
22.5,28.75
20,33.75
17.5,31.25
21.25,36.25
27.3037542662,39.1295336788
16.9283276451,26.5284974093
32.5,40
16.9283276451,19.2331606218
24.5733788396,38.4663212435
38.75,40
23.75,50
14.7440273038,21.8860103627
24.0273037543,28.518134715
20,41.25
15.8361774744,21.2227979275
26.5284974093,32.7645051195
18.75,37.5
16.25,38.75
21.25,22.5
26.25,32.5
22.9351535836,23.8756476684
17.4744027304,20.5595854922
20,28.75
38.75,41.25
18.75,28.75
33.75,37.5
25,30
26.2116040956,38.4663212435
32.5,35
32.5,33.75
28.75,30
18.75,37.5
28.75,30
32.5,40
14.7440273038,17.9067357513
21.2227979275,31.1262798635
31.1262798635,37.8031088083
20.5595854922,26.7576791809
14.1979522184,19.2331606218
23.75,28.75
20,28.75
33.75,35
14.5906735751,16.3822525597
14.1979522184,17.2435233161
18.566552901,21.2227979275
22.5,26.25
30,41.25
31.25,41.25
26.25,33.75
23.75,32.5
22.5,26.25
18.75,31.25
25,31.25
22.5,30
35,46.25
21.2969283276,24.5388601036
20.204778157,24.5388601036
23.75,33.75
14.7440273038,20.5595854922
26.7576791809,30.5077720207
25,35
22.9351535836,30.5077720207
18.5699481865,20.7508532423
27.5,37.5
13.6518771331,21.2227979275
14.7440273038,21.2227979275
16.9283276451,17.9067357513
25,32.5
22.5,26.25
23.75,37.5
11.4675767918,16.5803108808
23.4812286689,26.5284974093
30,40
14.1979522184,19.896373057
26.25,37.5
16.3822525597,19.2331606218
19.1126279863,25.2020725389
28.3959044369,34.4870466321
17.4744027304,19.896373057
21.8860103627,30.5802047782
21.843003413,25.2020725389
25,28.75
18.75,35
20,25
17.4744027304,17.9067357513
17.4744027304,19.2331606218
17.4744027304,21.2227979275
25.1194539249,28.518134715
25.1194539249,32.4974093264
16.3822525597,20.5595854922
15.8361774744,17.2435233161
19.1126279863,21.8860103627
18.75,32.5
22.5,31.25
20,25
17.4744027304,19.2331606218
16.9283276451,17.9067357513
19.6587030717,19.896373057
22.5492227979,26.2116040956
19.2331606218,21.843003413
32.2184300341,35.8134715026
13.1058020478,17.9067357513
14.5906735751,19.1126279863
15.2538860104,19.1126279863
21.25,35
18.5699481865,21.843003413
17.9067357513,19.1126279863
18.566552901,19.2331606218
19.6587030717,24.5388601036
18.75,30
17.9067357513,18.0204778157
18.5699481865,20.7508532423
20.204778157,25.2020725389
19.1126279863,20.5595854922
40,47.5
26.25,42.5
30,40
26.25,41.25
37.5,41.25
37.5,50
22.5,26.25
17.5,21.25
17.5,18.75
17.5,18.75
12.0136518771,18.5699481865
27.5,28.75
18.75,18.75
21.25,30
31.25,32.5
18.75,27.5
23.75,26.25
27.5,28.75
25,31.25
32.5,37.5
28.75,31.25
30,37.5
28.75,30
22.5,22.5
18.75,20
16.25,20
13.75,16.25
17.5,17.5
15,15
13.75,15
25,26.25
21.25,21.25
33.75,35
23.75,32.5
28.75,35
20,27.5
28.75,30
36.25,36.25
21.25,27.5
28.75,31.25
25,43.75
18.75,20
28.75,32.5
31.25,33.75
28.75,30
25,31.25
23.75,31.25
30,46.25
25,33.75
22.5,22.5
20,28.75
27.5,38.75
14.1979522184,25.8652849741
12.6010362694,13.1058020478
11.274611399,13.6518771331
11.9378238342,15.2901023891
13.1058020478,14.5906735751
9.82935153584,15.9170984456
23.75,26.25
13.75,15
13.75,17.5
15,23.75
16.25,17.5
15,17.5
17.5,25
13.75,21.25
15,22.5
18.75,21.25
13.75,20
16.25,26.25
23.75,25
15,20
20,21.25
18.75,22.5
13.1058020478,13.2642487047
15,20
15,18.75
15,22.5
15,17.5
16.25,21.25
15,16.25
13.75,13.75
12.5,13.75
13.75,13.75
12.5,13.75
16.25,18.75
15,16.25
18.75,20
17.5,21.25
17.5,21.25
12.5597269625,16.5803108808
18.75,20
12.0136518771,13.2642487047
12.5,13.75
11.4675767918,16.5803108808
16.25,18.75
10,18.75
12.5,22.5
20,23.75
12.5,20
16.25,28.75
21.25,22.5
26.25,27.5
17.5,17.5
17.5,20
17.5,22.5
18.75,23.75
31.25,32.5
20,23.75
18.75,25
20,43.75
16.25,21.25
20,30
18.75,20
17.5,27.5
31.25,31.25
13.75,15
15,17.5
22.5,32.5
12.5597269625,13.9274611399
21.25,22.5
27.5,35
21.25,25
17.5,25
30,32.5
33.75,37.5
22.5,32.5
16.25,40
22.5,22.5
20,22.5
20,25
23.75,25
16.25,33.75
25,25
30,36.25
25,31.25
25,26.25
33.75,38.75
18.75,30
21.25,28.75
26.25,37.5
26.25,27.5
18.75,25
18.75,22.5
18.75,23.75
17.5,23.75
13.9274611399,17.4744027304
21.25,22.5
13.9274611399,14.1979522184
26.25,32.5
20,22.5
22.5,25
22.5,35
35,36.25
33.75,33.75
32.5,35
35,36.25
16.25,16.25
22.5,23.75
32.5,37.5
28.75,40
21.25,26.25
32.5,35
20,20
20,23.75
16.25,20
18.75,18.75
22.5,23.75
42.5,43.75
33.75,37.5
16.25,17.5
11.4675767918,16.5803108808
30,33.75
21.25,28.75
21.25,22.5
21.25,22.5
28.75,28.75
31.25,35
25,33.75
22.5,27.5
21.25,35
15.2901023891,21.8860103627
17.5,28.75
28.75,31.25
23.75,25
23.75,31.25
30,33.75
16.25,22.5
21.25,33.75
16.25,18.75
26.25,33.75
18.75,25
18.75,25
13.75,17.5
17.5,17.5
23.75,26.25
17.5,17.5
20,21.25
18.75,27.5
13.75,20
17.5,20
17.5,22.5
16.25,22.5
22.5,28.75
15,18.75
16.25,18.75
17.5,17.5
17.5,17.5
16.25,21.25
16.25,17.5
20,23.75
18.75,20
18.75,21.25
15,18.75
18.75,20
20,21.25
17.5,17.5
16.25,20
11.25,17.5
20,21.25
